practice_code,CCGgeogcode,2011regionname,listsize,bp-estimate,bp-max95,bp-min95,bp-qofprev,chd-estimate,chd-max95,chd-min95,chd-qofprev,copd-estimate,copd-max95,copd-min95,copd-qofprev,depression-estimate,depression-max95,depression-min95,depression-qofprev,pad-estimate,pad-max95,pad-min95,pad-qofprev,stroke_IMD-estimate,stroke_IMD-max95,stroke_IMD-min95,stroke-estimate,stroke-max95,stroke-min95,stroke-qofprev,undx_bp-estimate,undx_bp-max95,undx_bp-min95
J82177,E38000137,South East,3749.0,16.4150874285338,20.1118682504525,13.2848178880937,0.105094691917845,7.49996841004099,8.09203436012142,6.94794705426011,3.1741797813,2.7929846749417,2.83503071395475,2.75154455754079,2.293945052,13.1337248523513,14.9237186416755,11.5293328507906,4.65378578818495,1.02509527409251,1.2682567137101,0.828163846541737,0.6668444919,3.53172878485799,4.03494986913215,3.08924689160001,3.67203316753904,4.09567993578742,3.2907037486522,1.6804481195,10.7773706249036,11.8151027635651,9.82063323763558
J82178,E38000118,South East,8194.0,18.1182474320415,19.5701669719605,16.7516112573464,0.146082499389797,7.36333605523458,7.97077693469046,6.79876744096497,2.4652184525,2.3712549329939,2.40337200216683,2.33955676658725,1.4278740542,14.33311398243,15.6880927210369,13.0770130185304,12.4441110780215,1.0219329306747,1.27057121178571,0.821545837952607,0.3783256041,3.59700087814558,4.05258470855812,3.19092962213218,3.68720134259796,4.10824393500051,3.3078217176531,1.7085672443,11.2964067607761,12.106369369694301,10.5341390826869
J82180,E38000167,South East,5385.0,19.8196970431076,21.3192491196371,18.4009529915455,0.123862581244197,7.29129351850047,7.88878845944145,6.73574343837383,2.9155060353,2.62875343307571,2.6685837496248,2.58950179295512,1.9684308264000001,16.4925906821675,18.013981635847,15.076062875962,6.69246362251999,1.04330977988709,1.29977876342367,0.83701743535182,0.7428040854,3.90444820719552,4.43479911442627,3.4352412911132,3.76258423364537,4.19550378178156,3.37276351533754,1.3184772516,12.0755509245107,12.9891388141997,11.2179356390445
J82181,E38000118,South East,9344.0,17.4787741091714,19.1954279039647,15.8854604074326,0.133882705479452,7.04607012700526,7.69009204192639,6.45221319396052,2.2581335616,1.85077048541759,1.8782065564787,1.82372774028089,1.7444349315,14.6728129580584,16.2345859635728,13.2375399917954,4.32048596346019,0.95522000740161,1.2205391993512,0.747139314385825,0.3852739726,3.39372199286324,3.86619673421785,2.97719862718422,3.55898101860461,3.97013898896629,3.18898961262396,1.4340753425,11.0229935104269,11.9792402770659,10.1342908696127
J82183,E38000167,South East,6105.0,19.3236458251212,24.7273729119191,14.8675625151034,0.10958230958231,7.1688239668653,7.8553130738551,6.53807150577276,2.5061425060999998,1.92024403415996,1.9453902361905,1.89541658996128,1.6216216216,11.4074607417453,13.2554078737865,9.78806771425349,4.08175075770617,0.923012376460976,1.19765240609479,0.710898364700711,0.6715806716,3.41072890088361,3.88063798717624,2.9959478562803,3.58124003014752,4.01081983723694,3.19613847304438,1.8673218673,12.0331834391079,12.9018299176775,11.2154898064581
J82184,E38000154,South East,3622.0,17.9241313175409,19.3387805045916,16.5916789947851,0.129486471562673,5.99771717451685,6.57115878095893,5.47138719767409,2.3191606847,1.75034599652549,1.77653410913553,1.72453714832219,2.4572059636,15.6867257569012,17.2264391368524,14.2609227581744,7.39773562572874,0.886645717165465,1.14042393914704,0.688947133624935,0.358917725,3.10289035358061,3.57242405750362,2.69334508156692,3.16624329801724,3.56771819234612,2.80863049889904,1.3528437327,11.4262653315092,12.2759533515315,10.6282636451793
J82187,E38000167,South East,9206.0,18.6600755360206,20.2058263921007,17.2070751268991,0.119052791657615,6.74156129387566,7.30429628512366,6.21927156132283,2.8351075386,2.79318434065327,2.8327506237714,2.75415503305549,2.8894199435,19.0259089443052,20.8260638712478,17.347262393430402,9.38066095409558,1.00616675252925,1.25607206948767,0.805576411405436,0.8038235933,3.52758200195171,4.05170337213239,3.06909137373267,3.46209575987922,3.88196532557569,3.08618075380755,1.5533347817,11.5042903803594,12.5476104867871,10.5372684529582
J82188,E38000198,South East,3604.0,17.7975827765618,19.1891086603079,16.4863788684908,0.112652608213097,6.36041431555827,6.95501099053772,5.81347473434471,2.2752497225,1.96998482798015,2.0007588145491,1.9396748122547,1.692563818,16.6126782710362,18.1802839879597,15.1552035974643,6.55140037285385,0.92739763151639,1.18704345391216,0.724128776659344,0.2497225305,3.49412471007437,3.99948508657826,3.05059070671693,3.38592892533885,3.80660266312538,3.01028967044582,1.0821309656,11.4453983317152,12.3445515127457,10.6038149861087
J82190,E38000198,South East,7152.0,22.1566873992142,23.978610942726,20.4359826731557,0.136325503355705,7.21838895278863,7.90247395855455,6.58928550923243,2.7824384787,2.1417201812889,2.19035154740154,2.09414543730867,1.1884787472,14.8915591994681,16.8708782267378,13.1078410349825,3.30821324823629,0.988156483548882,1.27679374631101,0.764264615154,0.4753914989,3.75208328782748,4.44344199280073,3.16473106634263,3.83936939419141,4.27668908502845,3.44515906209817,1.4960850112,12.0501226190272,13.2597416138059,10.9369375074541
J82192,E38000198,South East,12814.0,17.6008901805206,19.1064037042777,16.1902628197125,0.123146558451693,6.4068475775879,7.02211182526402,5.84210439315627,1.9822069611,1.36390187571898,1.39203803652397,1.33632670192618,1.0301233026,15.403571143953,17.2814504009532,13.6959639718064,9.3633644718671,0.925522449018984,1.19421819565414,0.716843880614442,0.3433744342,3.37087818308932,3.95543171114244,2.87013133751802,3.42350269413489,3.84064825919955,3.05022751365019,1.2408303418,10.9789224142796,11.986331968912,10.0465173685237
