"","prac.code","bp","bp1","chd","depression","pad_IMD","pad","stroke.IMD","stroke","bp_notdiag","bp.qof","chd.qof","depression.qof"
"129","A82057",24.43,0.24,7.02,16.73,0.96,1.01,3.81,3.79,13.22,0.16,4.49,6.42
"130","A82058",23.02,0.23,7.75,19.03,1.07,1.13,4.04,3.99,12.71,0.16,3.75,6.7
"131","A82060",25.35,0.25,8.24,18.54,1.13,1.17,4.23,4.18,13.77,0.16,4.6,8.25
"132","A82062",23.4,0.23,7.52,19.93,1.04,1.09,4.05,3.89,12.85,0.18,4.34,13.86
"133","A82063",25.08,0.25,7.46,16.11,0.95,1.01,4.09,4.11,14.03,0.18,2.81,4.75
"134","A82064",25.82,0.26,7.62,18.68,1.1,1.16,3.79,3.87,13.72,0.2,5.69,9.44
"135","A82065",28.31,0.28,7.66,16.37,1.03,1.09,4.1,4.11,14.27,0.22,5.68,9.92
"136","A82068",23.68,0.24,7.22,17.25,0.98,1.03,3.9,3.86,13.11,0.2,4.56,12.85
"137","A82070",24.62,0.25,7.18,16.28,0.95,1,3.9,3.88,13.61,0.14,3.73,5.29
"138","A82071",23.58,0.24,7.28,19.76,1,1.05,3.88,3.82,12.86,0.18,4.37,6.49
"139","A82072",23.66,0.24,7.69,19.66,1.07,1.13,4.18,4.03,12.88,0.26,7.52,15.61
"140","A82074",31.09,0.31,7.43,15.1,0.96,1.03,3.96,4.04,14.21,0.22,6.31,7.7
"141","A82075",23.51,0.24,7.2,19.71,1.01,1.07,3.78,3.75,12.83,0.13,4.38,7.76
"142","A82077",20.8,0.21,6.75,20.22,0.93,0.98,3.73,3.61,11.79,0.09,3.18,2.39
"143","A82608",23.18,0.23,7.36,14.97,1.03,1.06,4.06,3.83,13.54,0.16,3.23,9.85
"144","A82613",25.45,0.25,6.82,15.96,0.94,0.95,4.1,3.71,14.6,0.09,2.31,1.94
"145","A82617",24.66,0.25,6.77,16.22,0.92,0.95,3.92,3.71,14.29,0.15,4.82,4.01
"146","A82619",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA
"147","A82620",23.55,0.24,7.06,15.58,0.93,0.94,4.35,3.96,14.35,0.15,4.76,3.52
"148","A82621",25.18,0.25,7.5,16.61,1.03,1.04,4.34,4,14.22,0.19,4.5,9.22
"149","A82623",23.57,0.24,7.29,19.68,1.01,1.06,3.99,3.89,12.99,0.16,5.02,6.24
"150","A82629",23.55,0.24,7.49,19.81,1.04,1.08,4.05,3.88,13,0.17,4.33,8.4
"151","A82631",23.29,0.23,6.84,16.04,0.96,0.99,3.96,3.71,13.73,0.15,4.5,4.75
"152","A82635",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA
"153","A82641",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA
"154","A82642",23.71,0.24,6.47,16.5,0.94,0.96,3.78,3.45,13.94,0.17,3.86,4.46
"155","A82646",24.45,0.24,7.52,19.39,1.02,1.08,3.95,4,13.58,0.16,6.08,11.71
"156","A82647",26.65,0.27,7.24,16.59,0.97,1.03,3.96,3.92,13.7,0.19,5.21,9.14
"157","A82650",25.77,0.26,7.08,16.3,0.99,1.01,4.08,3.77,14.59,0.17,4.33,5.59
"158","A82651",25.01,0.25,6.82,17.01,0.91,0.96,3.65,3.67,13.81,0.14,3.37,5.1
"159","A82654",22.49,0.22,7.34,18.11,1,1.06,3.82,3.85,12.73,0.18,4.91,0.18
"160","A83001",23.82,0.24,7.23,19.82,1.02,1.08,3.81,3.79,12.96,0.16,4.8,11.2
"161","A83003",24.27,0.24,7.43,20.03,1.06,1.11,3.99,3.89,13.14,0.17,5.42,7.49
"162","A83004",22.89,0.23,7.24,20.46,1.02,1.07,3.88,3.78,12.43,0.17,4.84,9.16
"163","A83005",22.84,0.23,7.25,18,1.02,1.08,3.86,3.87,12.48,0.17,4.47,5.74
"164","A83006",21.51,0.22,7.33,17.78,1.01,1.05,3.94,3.93,12.21,0.15,4.01,17.24
"165","A83007",25.09,0.25,7.37,21.38,1.04,1.1,3.93,3.89,12.93,0.19,5.91,12.92
"166","A83008",25.2,0.25,7.8,22.01,1.13,1.18,4.17,3.98,13.2,0.18,5.67,11.82
"167","A83009",24.15,0.24,7.67,18.06,1.03,1.1,4.03,4.1,12.87,0.17,4.41,11.14
"168","A83010",23.51,0.24,7.4,17.24,1.01,1.06,3.98,3.99,12.74,0.16,4.23,7.14
"169","A83011",8.56,0.09,7.29,8.68,0.92,0.96,3.79,3.85,7.59,0.06,1.71,4.93
"170","A83012",23.86,0.24,7.39,21.46,1.05,1.11,3.95,3.86,12.64,0.18,5.61,8.03
"171","A83013",20.34,0.2,7.09,18.57,0.98,1.03,3.74,3.78,11.84,0.12,3.64,5.53
"172","A83014",25.02,0.25,7.89,17.39,1.09,1.16,3.96,4.08,13.19,0.2,5.54,7.48
"173","A83015",24.83,0.25,7.49,19.95,1.04,1.11,3.92,3.94,13.1,0.18,4.95,11.01
"174","A83016",23.69,0.24,7.32,20.36,1.06,1.12,3.79,3.78,12.8,0.19,4.81,13.42
"175","A83017",25.56,0.26,8.1,21.42,1.13,1.2,4.22,4.2,13.11,0.17,6.25,9.36
"176","A83018",23.66,0.24,7.61,18.34,1.07,1.12,3.98,3.99,13,0.17,5.01,9.15
"177","A83019",23.82,0.24,7.37,21.97,1.04,1.1,3.9,3.83,12.6,0.15,4.99,3.42
"178","A83020",24.47,0.24,7.28,19.67,1.01,1.07,3.81,3.88,13.14,0.18,5.14,9.38
"179","A83021",23.76,0.24,7.41,20.5,1.04,1.11,3.91,3.86,12.85,0.16,5.01,11.72
"180","A83022",23.18,0.23,7.23,18.86,1.01,1.07,3.79,3.82,12.82,0.15,4.57,11.83
"181","A83023",23.84,0.24,7.64,20.39,1.08,1.14,3.99,3.97,12.88,0.18,5.61,4.84
"182","A83024",25.46,0.25,7.72,19.44,1.08,1.15,4.01,4.02,13.33,0.19,5.82,4.5
"183","A83025",23.46,0.23,7.21,20.74,1.01,1.08,3.78,3.78,12.72,0.14,4.92,4.43
"184","A83026",22.94,0.23,7.4,18.42,1.03,1.08,3.82,3.88,12.74,0.15,4.41,9.54
"185","A83027",22.64,0.23,7.63,18.67,1.06,1.12,4.11,4.03,12.51,0.14,4.48,14.61
"186","A83028",23.49,0.23,7.11,18.01,0.97,1.03,3.73,3.8,12.76,0.17,4.09,8.57
"187","A83029",24.04,0.24,7.53,17.61,1.04,1.1,3.95,4,12.84,0.15,5.17,5.85
"188","A83030",21.22,0.21,7.29,17.08,0.99,1.05,3.78,3.82,12.17,0.16,4.43,7.36
"189","A83031",24.05,0.24,7.19,16.79,0.97,1.03,3.83,3.88,12.75,0.16,4.17,4.3
"190","A83032",27.6,0.28,8.02,18.56,1.12,1.19,4.15,4.22,14.2,0.25,7.18,11.34
"191","A83033",23.9,0.24,7.68,19.42,1.06,1.12,4.1,4.06,13.02,0.18,5.25,9.49
"192","A83034",21.82,0.22,7.06,17.36,0.95,1.01,3.78,3.82,12.17,0.13,3.6,6.33
"193","A83035",27.42,0.27,7.3,17.59,1.01,1.04,4.13,3.94,14.59,0.21,5.01,7.32
"194","A83036",24.82,0.25,7.63,14.91,1.02,1.08,3.85,3.96,13.06,0.18,5.11,8.04
"195","A83037",24.75,0.25,7.55,18.67,1.03,1.1,3.93,4.02,13.01,0.17,6.04,8.61
"196","A83038",21.67,0.22,7.21,18.95,0.99,1.07,3.74,3.85,11.84,0.14,3.57,10.61
"197","A83040",21.32,0.21,7.16,18.48,1,1.05,3.77,3.8,12.11,0.15,4.29,11.2
"198","A83041",24.24,0.24,7.51,19.95,1.06,1.1,4.22,4,13.05,0.18,5.74,6.81
"199","A83042",24.09,0.24,7.1,21.06,1,1.04,3.98,3.78,13.01,0.17,5.8,4.31
"200","A83043",27.42,0.27,7.98,17,1.14,1.19,4.1,4.08,14.78,0.26,5.97,7.16
"201","A83044",23.97,0.24,7.35,21.73,1.02,1.08,3.93,3.91,12.56,0.18,5.35,3.63
"202","A83045",24.3,0.24,7.49,20.7,1.04,1.11,3.96,3.93,12.97,0.15,5.22,7.84
"203","A83046",25.88,0.26,7.63,16.7,1.07,1.14,3.93,3.95,13.8,0.17,5.17,10.95
"204","A83047",21.78,0.22,7.26,18.09,1.02,1.07,3.85,3.86,12.18,0.16,3.79,13.49
"205","A83048",23.61,0.24,7.15,16.31,0.97,1.01,3.97,3.92,12.96,0.15,3.62,5.38
"206","A83049",22.72,0.23,7.2,18.41,1,1.05,3.85,3.85,12.65,0.15,4.01,6.45
"207","A83050",22.91,0.23,7.08,18.13,0.97,1.03,3.76,3.79,12.47,0.15,4.43,8.02
"208","A83051",23.62,0.24,7.32,19.82,1.03,1.09,3.94,3.85,12.69,0.19,5.47,7.39
"209","A83052",24.57,0.25,7.24,19.94,1.01,1.07,3.8,3.8,13.17,0.16,5.19,6.77
"210","A83054",23.8,0.24,7.37,18.47,1.02,1.08,3.93,3.92,12.89,0.17,4.72,12.89
"211","A83055",23.94,0.24,7.45,16.94,1.05,1.11,3.83,3.86,12.57,0.16,3.7,7.42
"212","A83057",22.13,0.22,7.19,22.39,1.02,1.08,3.86,3.78,11.93,0.17,4.77,13.17
"213","A83060",24.81,0.25,7.16,18.57,1.01,1.05,3.92,3.8,13.66,0.14,4.5,8.73
"214","A83061",25.14,0.25,7.42,16.91,1.03,1.09,3.91,3.92,13.95,0.15,3.69,7.91
"215","A83066",21.48,0.21,7.19,19.9,1.02,1.07,3.87,3.77,12.25,0.16,3.96,16.03
"216","A83068",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA
"217","A83070",23.82,0.24,7.08,16.22,0.94,1,3.81,3.89,13,0.17,4.15,6.4
"218","A83071",22.4,0.22,7.03,20.03,1,1.05,3.8,3.71,12.28,0.14,5.08,4.92
"219","A83072",25.71,0.26,7.54,17.49,1.02,1.08,4.06,4.04,13.03,0.17,4.44,11.76
"220","A83073",25,0.25,7.84,20.47,1.12,1.19,4.03,4.02,13.15,0.19,6.52,6.46
"221","A83074",22.46,0.22,7.02,19.67,0.98,1.05,3.64,3.7,12.36,0.16,4.01,8.55
"222","A83075",24.5,0.25,7.44,19.37,1.04,1.09,3.98,3.89,13.02,0.19,6.25,3.26
"223","A83076",24.13,0.24,7.61,19.4,1.09,1.17,3.76,3.88,12.9,0.2,5.31,11.85
"224","A83603",22.89,0.23,7.22,20.29,1.01,1.07,3.75,3.76,12.65,0.2,4.8,13.43
"225","A83610",23.18,0.23,7.17,21.17,1.01,1.04,4.04,3.79,12.89,0.17,5.19,6.91
"226","A83616",24.33,0.24,7.02,22.29,0.99,1.04,3.79,3.67,12.91,0.22,5.86,4.64
"227","A83617",22.8,0.23,6.85,18.77,0.95,1.01,3.62,3.7,12.53,0.15,5.34,7.27
"228","A83618",23.22,0.23,7.22,18.62,0.97,1.04,3.67,3.87,12.56,0.16,4.46,8.91
"229","A83619",21.63,0.22,7.26,22.18,1.03,1.08,3.9,3.8,12.12,0.16,4.63,8.87
"230","A83622",25.03,0.25,7.22,19.46,0.99,1.07,3.52,3.84,13.04,0.19,5.91,12.11
"231","A83626",25.66,0.26,7.34,20.47,1.03,1.09,3.84,3.84,13.5,0.2,6.32,5.81
"232","A83627",19.61,0.2,7.04,20.63,1,1.07,3.54,3.67,11.39,0.18,5.21,18.63
"233","A83630",21.13,0.21,7.48,19.51,1.01,1.07,4.02,3.97,12.21,0.14,4.49,9.64
"234","A83632",24.57,0.25,7.83,20.39,1.11,1.18,4.01,4.02,13.23,0.18,4.67,2.63
"235","A83634",27.2,0.27,7.86,23.38,1.12,1.17,4.4,4.11,13.58,0.21,7.07,5.68
"236","A83635",19.71,0.2,7.23,17.94,1.03,1.07,3.8,3.75,11.87,0.13,3.83,10.42
"237","A83636",22.17,0.22,7.36,19.43,1.02,1.09,3.67,3.87,12.2,0.15,4.06,9.1
"238","A83637",23.77,0.24,7.14,20.04,1.02,1.07,3.86,3.77,13.05,0.17,5.88,7.63
"239","A83638",23.34,0.23,7.58,22.06,1.07,1.13,4.13,3.93,12.53,0.18,5.5,2.74
"240","A83641",19.05,0.19,7.24,18.81,0.98,1.02,3.84,3.85,11.58,0.13,2.96,5.44
"241","A83644",23.6,0.24,7.54,20.58,1.08,1.14,3.86,3.85,12.9,0.17,4.32,8.14
"242","A84002",28.66,0.29,7.4,16.25,1.03,1.06,4.18,3.92,15.05,0.23,4.81,9.59
"243","A84003",23.28,0.23,7.26,19.91,1.03,1.08,3.85,3.73,12.63,0.15,5.34,8.92
"244","A84005",23.18,0.23,7.32,18.21,1.01,1.07,3.84,3.83,12.7,0.16,4.57,5.13
"245","A84006",26.37,0.26,7.35,16.85,1.04,1.09,3.99,3.85,14.06,0.17,5.1,3.51
"246","A84007",25.33,0.25,7.5,14.98,0.99,1.04,3.94,3.93,13.16,0.18,4.04,5.03
"247","A84008",29.02,0.29,7.73,17.62,1.11,1.15,4.19,3.98,15.07,0.23,5.24,4.15
"248","A84009",22.24,0.22,7.06,19.62,0.98,1.04,3.75,3.69,12.44,0.15,4.34,7.35
"249","A84011",25.05,0.25,7.25,15.27,0.97,1.01,3.9,3.83,13.28,0.15,3.81,3.58
"250","A84013",23.3,0.23,7.36,19.66,1.03,1.09,4.02,3.87,12.9,0.15,4.88,6.36
"251","A84014",23.99,0.24,7.49,19.11,1.04,1.11,3.92,3.87,12.96,0.16,5.47,8.31
"252","A84015",24.78,0.25,7.6,20.03,1.06,1.11,4.05,3.87,13.42,0.15,6,9.25
