"","prac.code","bp","bp1","chd","depression","pad_IMD","pad","stroke.IMD","stroke","bp_notdiag","bp.qof","chd.qof","depression.qof"
"5920","M84624",21.89,0.22,7.79,18.12,1.09,1.14,3.88,3.97,12.42,0.15,2.78,4.84
"5921","M84627",25.26,0.25,8.54,17.74,1.19,1.24,4.21,4.27,13.28,0.22,4.1,9.08
"5922","M84629",19.62,0.2,6.71,16.05,0.92,0.98,3.61,3.59,11.72,0.12,2.22,9.55
"5923","M85001",20.35,0.2,7.47,18.84,1.02,1.04,3.86,3.72,11.52,0.13,3.83,10.81
"5924","M85002",15.5,0.16,8.76,8.1,1,0.89,3.48,3.59,9.32,0.08,1.61,6.8
"5925","M85003",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA
"5926","M85005",19.05,0.19,10.01,9.29,1.14,1.01,4.13,4.07,10.61,0.08,2.32,6
"5927","M85006",21.42,0.21,7.87,15.46,1.02,1,3.83,3.74,11.88,0.13,3.5,9.29
"5928","M85007",19.33,0.19,7.4,17.51,1.01,1.03,3.83,3.74,11.56,0.15,3.52,12.47
"5929","M85008",22.69,0.23,8.26,16.95,1.15,1.15,4.06,3.87,12.47,0.16,3.68,11.74
"5930","M85009",24.78,0.25,10.05,10.12,1.17,1.07,4.18,4.26,12.3,0.16,3.1,3.44
"5931","M85010",24.36,0.24,10.29,9.44,1.24,1.11,4.14,4.14,12.16,0.16,4.1,3.83
"5932","M85011",23.61,0.24,8.18,14.65,1.04,1.01,3.93,3.85,12.69,0.15,3.3,3.45
"5933","M85013",22.85,0.23,8.91,15.3,1.16,1.14,4.27,4.11,12.27,0.16,3.29,2.34
"5934","M85014",21.84,0.22,8.53,14.39,1.09,1.05,4,3.9,11.94,0.12,3.41,4.61
"5935","M85015",20.88,0.21,8.95,10.5,1.08,0.98,3.71,3.69,11.32,0.12,2.09,3.45
"5936","M85016",22.09,0.22,7.86,16.72,1.05,1.06,4,3.9,12.22,0.17,3.98,9.12
"5937","M85018",23.79,0.24,8.45,15.17,1.11,1.1,4.14,4.01,12.77,0.16,4.4,12.1
"5938","M85019",21.93,0.22,8.8,13.03,1.12,1.09,3.94,4.08,11.82,0.18,3.83,5.44
"5939","M85020",20.61,0.21,9.54,7.89,1.15,1.03,3.88,3.83,11.23,0.12,2.1,4.43
"5940","M85021",16.8,0.17,7.71,12.38,0.96,0.9,3.42,3.42,10.74,0.08,1.44,4.02
"5941","M85023",20.98,0.21,7.9,16.74,1.05,1.06,4.02,3.87,11.89,0.15,3.62,10.71
"5942","M85024",19.91,0.2,9.67,8.56,1.13,1,3.83,3.79,10.68,0.12,2.48,4.42
"5943","M85025",12.76,0.13,7.86,9.52,0.95,0.9,3.31,3.44,9.4,0.08,1.13,7.87
"5944","M85026",22.68,0.23,6.99,15.27,0.93,0.98,3.57,3.65,12.54,0.16,3.43,6.27
"5945","M85027",21.21,0.21,7.04,17.41,0.95,0.99,3.75,3.68,12.24,0.14,3.66,14.16
"5946","M85028",22.2,0.22,7.89,13.6,0.99,0.98,3.76,3.81,12.4,0.13,2.72,5.72
"5947","M85029",24.15,0.24,7.67,15.06,1.03,1.04,3.95,3.87,13.26,0.16,3.79,10.68
"5948","M85030",20.36,0.2,7.55,16.88,1.02,1.04,3.89,3.81,11.95,0.14,3.21,11.76
"5949","M85031",22.32,0.22,7.62,18.05,1.03,1.05,3.97,3.79,12.33,0.15,4.11,3.74
"5950","M85033",21.74,0.22,7.25,15.04,0.94,0.98,3.8,3.83,12.22,0.15,3.48,9.72
"5951","M85034",17.96,0.18,8.61,10.77,1.05,0.95,3.63,3.56,10.25,0.08,1.81,1.9
"5952","M85035",20.05,0.2,7.72,17.31,1.03,1.04,3.89,3.74,11.39,0.13,2.89,10.05
"5953","M85036",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA
"5954","M85037",22.52,0.23,7.85,13.88,1.02,1.01,3.88,3.85,12.65,0.13,3.35,8.56
"5955","M85038",23.18,0.23,7.43,14.75,0.95,1,3.91,3.97,12.37,0.13,3.58,5.1
"5956","M85041",6.99,0.07,7.06,6.81,0.88,0.88,3.35,3.49,7.23,0.06,1.11,5.84
"5957","M85042",19.46,0.19,8.35,10.29,1.05,1.01,3.99,3.93,12.32,0.11,2.83,6.89
"5958","M85043",21.89,0.22,7.62,17.9,1.03,1.05,3.96,3.78,12.06,0.16,3.43,11.53
"5959","M85045",22.83,0.23,8.16,16.76,1.08,1.08,4.24,4.05,12.61,0.19,3.78,12.05
"5960","M85046",22.49,0.22,7.43,14.79,0.96,0.99,3.91,3.94,12.39,0.14,3.53,0.67
"5961","M85047",21.98,0.22,7.16,16.82,0.94,0.98,3.71,3.71,12.47,0.13,3.1,7.07
"5962","M85048",23.62,0.24,7.76,16.98,1.02,1.05,4.04,3.98,12.88,0.16,3.96,6.81
"5963","M85051",17.45,0.17,8.9,9.89,1.09,0.98,3.67,3.61,10.37,0.09,2.69,6.75
"5964","M85052",20.87,0.21,7.46,16.79,1.01,1.03,3.82,3.74,12.17,0.14,3.22,3.94
"5965","M85053",20.22,0.2,9.59,9.77,1.23,1.12,3.81,3.76,10.89,0.13,2.49,11.04
"5966","M85055",16.82,0.17,8.25,9.91,1.01,1,4,4.08,11.45,0.12,3.14,4.14
"5967","M85056",22.14,0.22,7.71,14.71,0.99,0.99,3.86,3.82,12.69,0.15,3.26,6.57
"5968","M85058",17.71,0.18,7.81,12.81,0.96,0.96,3.7,3.81,11.11,0.1,2.07,5.84
"5969","M85059",22.95,0.23,8.07,16.67,1.06,1.07,4.22,4.07,12.75,0.19,3.65,14.76
"5970","M85060",22.56,0.23,7.85,15.9,1.02,1.05,3.99,4.06,12.21,0.18,4.22,7.05
"5971","M85061",21.88,0.22,9.09,11.85,1.11,1.03,3.96,3.87,11.64,0.13,2.99,5.19
"5972","M85062",22.94,0.23,7.32,16,0.96,0.97,3.8,3.69,12.59,0.14,3.54,6.15
"5973","M85063",22.44,0.22,8.1,14.63,1.04,1.03,3.83,3.83,12.17,0.14,3.31,6.12
"5974","M85064",19.19,0.19,8.61,8.9,1.01,0.9,3.51,3.55,11.1,0.1,1.86,4.48
"5975","M85065",22.37,0.22,7.53,15.55,0.98,0.99,3.68,3.73,12.21,0.15,3.46,9.05
"5976","M85066",25.1,0.25,9.78,10.49,1.18,1.09,3.93,3.98,12.47,0.16,4.01,5.29
"5977","M85068",23.41,0.23,7.34,14.82,0.95,0.98,3.82,3.86,12.8,0.17,3.76,7.2
"5978","M85069",20.54,0.21,9.46,8.46,1.12,1,3.81,3.79,10.99,0.12,2.15,7.36
"5979","M85070",20.52,0.21,8.08,14.65,1.02,0.99,3.87,3.77,11.49,0.11,2.54,6.34
"5980","M85071",21.25,0.21,6.97,17.05,0.95,0.97,3.56,3.56,12.11,0.13,3.36,5.4
"5981","M85072",22.07,0.22,10.2,8.83,1.22,1.08,3.98,3.97,11.32,0.13,2.39,6.26
"5982","M85074",21.95,0.22,7.94,12.42,1,0.95,3.48,3.47,12.11,0.1,2.13,7.73
"5983","M85075",19.05,0.19,9.32,8.54,1.1,0.98,3.67,3.77,10.63,0.12,2.26,6.44
"5984","M85076",21.76,0.22,7.66,17.43,1.05,1.07,4.04,3.87,12.34,0.14,3.26,10.36
"5985","M85077",23.01,0.23,7.26,15.95,0.96,1,3.76,3.82,12.7,0.15,3.51,9.46
"5986","M85078",18.95,0.19,9.1,11.11,1.09,1,3.86,3.87,10.9,0.12,2.28,7.83
"5987","M85079",21.64,0.22,8.13,18.63,1.09,1.11,4.21,4.07,11.86,0.15,4.13,6.89
"5988","M85081",22.51,0.23,7.71,16.34,1.01,1.01,3.9,3.76,12.15,0.16,3.16,11.6
"5989","M85082",21.23,0.21,9.54,8.66,1.14,0.99,3.7,3.7,11.44,0.15,2.6,5.26
"5990","M85083",24.22,0.24,7.64,14.5,0.98,1.03,3.99,4.06,12.63,0.17,4,2.55
"5991","M85084",20.96,0.21,9.99,8.72,1.16,1.03,4.09,4.02,11.33,0.13,2.5,9.32
"5992","M85085",18.63,0.19,9.22,8.26,1.01,0.87,3.76,3.73,10.78,0.05,1.87,4.09
"5993","M85086",19.22,0.19,7.36,17.51,1,1.04,3.83,3.8,11.56,0.12,2.35,14.35
"5994","M85087",20.86,0.21,7.87,16.52,1.04,1.05,3.92,3.82,11.65,0.15,3.15,10.84
"5995","M85088",18.35,0.18,8.34,11.15,1,0.95,3.57,3.71,10.98,0.11,2.53,6.43
"5996","M85092",20.06,0.2,7.4,17.05,0.97,0.98,3.81,3.74,11.66,0.12,3.03,9.42
"5997","M85094",23.65,0.24,9.06,12.53,1.06,0.98,4.22,4.1,12.99,0.14,2.3,3.82
"5998","M85097",21.84,0.22,7.34,16.05,0.96,0.97,3.84,3.78,12.43,0.14,3.07,4.72
"5999","M85098",19.26,0.19,9.14,10.39,1.06,0.99,3.71,3.93,10.95,0.12,2.08,4.37
"6000","M85100",21.45,0.21,9.38,9.26,1.11,1,3.83,3.8,11.52,0.13,2.51,6.22
"6001","M85103",22.49,0.22,7.89,14.78,1,1.04,4.04,4.11,12.19,0.13,3.17,6.6
"6002","M85105",21.17,0.21,8.37,15.24,1.06,1.05,3.87,3.94,11.68,0.13,3.17,9.29
"6003","M85107",18.71,0.19,7.68,13.92,0.99,0.95,3.52,3.44,10.77,0.1,2.27,15.48
"6004","M85108",21.01,0.21,9.89,9.45,1.16,1.03,4.1,4.05,10.99,0.1,2.17,6.99
"6005","M85110",19.84,0.2,10.16,8.82,1.21,1.07,4.01,4.01,10.73,0.09,2.43,0.42
"6006","M85111",19.94,0.2,7.82,14.98,1.03,1,3.68,3.56,11.37,0.15,2.73,15.2
"6007","M85113",23.73,0.24,8.77,12.65,1.07,1.02,3.74,3.86,12.25,0.17,3.42,5.75
"6008","M85115",23.14,0.23,7.45,15.62,0.96,0.97,3.64,3.73,12.63,0.16,3.91,5.84
"6009","M85116",20.66,0.21,10.08,9.69,1.19,1.07,4.08,4.07,11.1,0.11,2.76,6.14
"6010","M85117",21.54,0.22,7.37,17.23,1.02,1.04,3.76,3.62,12.06,0.13,3.19,9.08
"6011","M85118",22.15,0.22,7.79,13.08,0.97,0.95,3.95,3.85,12.61,0.15,2.78,2.44
"6012","M85123",19.05,0.19,10.28,8.47,1.21,1.07,4.03,3.99,10.46,0.08,2.53,4.42
"6013","M85124",17.4,0.17,8.22,10.3,1.02,0.96,3.64,3.64,10.91,0.11,2.16,5.14
"6014","M85127",19.64,0.2,8.61,11.16,1.07,0.99,3.56,3.61,10.99,0.11,3.22,1.62
"6015","M85128",20.34,0.2,9.3,9.64,1.12,1.01,3.8,3.73,11.13,0.11,3.01,14.13
"6016","M85133",20.98,0.21,9.38,7.91,1.11,0.97,3.66,3.66,11.09,0.11,2.68,4.28
"6017","M85134",21.21,0.21,7.16,17,0.97,1,3.65,3.67,12.18,0.17,3.55,8.7
"6018","M85136",18.64,0.19,7.05,17.76,0.94,0.95,3.77,3.6,11.18,0.11,2.6,12.94
"6019","M85139",17.23,0.17,9.28,8.96,1.11,0.98,3.71,3.69,9.96,0.09,2.54,2.43
"6020","M85141",24.81,0.25,8.31,16.97,1.11,1.12,4.13,3.99,12.91,0.19,5.14,3.07
"6021","M85142",24.81,0.25,8.6,15.59,1.13,1.14,4.25,4.21,13.17,0.21,4.6,4.44
"6022","M85143",20.97,0.21,7.48,16.78,1.01,1.03,3.8,3.68,11.84,0.13,3.54,8.41
"6023","M85145",24.15,0.24,9.18,8.67,1.1,0.98,3.84,3.81,12.27,0.16,3.07,0.46
"6024","M85146",17.8,0.18,9.2,8.57,1.08,0.94,3.64,3.62,10.21,0.09,2.53,5.11
"6025","M85149",17.89,0.18,9.42,8.94,1.15,1.02,3.64,3.62,10.26,0.1,4.43,2.48
"6026","M85153",20.95,0.21,10.69,8.21,1.23,1.07,4.18,4.15,11.35,0.12,2.83,5.04
"6027","M85154",19.32,0.19,9.72,8.12,1.16,1.02,3.8,3.78,10.35,0.1,2.33,2.49
"6028","M85155",21.03,0.21,7.64,16.97,1.01,1.03,3.95,3.88,11.87,0.14,3.7,7.68
"6029","M85156",18.86,0.19,7.56,14.28,0.99,1,3.63,3.7,11.47,0.12,3.19,8.88
"6030","M85158",23.31,0.23,7.72,16.45,1.01,1.05,3.88,3.94,12.65,0.16,4.46,6.56
"6031","M85159",23.47,0.23,8.16,15.8,1.08,1.1,4.15,4.09,12.87,0.18,3.81,5.45
"6032","M85163",20.08,0.2,7.61,15.64,0.98,0.98,3.92,3.85,11.84,0.12,2.41,12.29
"6033","M85164",19.35,0.19,9.85,9.62,1.16,1.03,4.04,4,10.85,0.1,2.96,5.72
"6034","M85167",5.95,0.06,8.39,7.42,0.95,0.92,3.92,4.08,6.87,0.02,0.31,4.36
"6035","M85170",21.84,0.22,10.31,8.82,1.27,1.12,4.02,4,11.66,0.13,5.11,2.6
"6036","M85171",21.79,0.22,7.56,14.73,0.97,0.96,3.8,3.74,12.37,0.16,3.42,2.73
"6037","M85172",20.74,0.21,8.09,15,1.03,1.03,3.89,3.93,11.7,0.14,3.52,13.03
"6038","M85174",20.22,0.2,8.65,10.19,1.03,0.93,3.62,3.61,11.18,0.1,2.04,4.23
"6039","M85175",24.2,0.24,7.41,14.52,0.94,0.98,3.8,3.88,12.68,0.15,3.34,1.56
"6040","M85176",22.69,0.23,9.84,8.62,1.18,1.04,3.85,3.85,11.51,0.15,3.11,6.67
"6041","M85177",20.74,0.21,8.08,15.16,1.02,1.01,3.98,3.88,11.74,0.14,3.03,9.83
"6042","M85178",21.13,0.21,9.78,8.69,1.19,1.05,3.83,3.81,11.18,0.19,2.8,18.73
"6043","M85179",22.31,0.22,7.73,17.01,1.02,1.04,4.06,3.95,12.42,0.15,3.66,2.3
"6044","M85600",19.26,0.19,7.36,16.49,0.97,1,3.67,3.74,11.55,0.13,3.08,11.48
"6045","M85611",14.91,0.15,8.23,9.26,1,0.94,3.45,3.6,10.57,0.08,1.77,6.38
"6046","M85624",21.09,0.21,7.98,13.9,1,0.99,3.66,3.78,11.71,0.15,2.83,7.2
"6047","M85634",21.58,0.22,9.87,8.24,1.16,1.02,3.9,3.89,11.29,0.13,2.22,3.5
"6048","M85642",21.14,0.21,9.51,10.09,1.2,1.1,3.84,3.86,11.26,0.12,2.33,2.56
"6049","M85652",20.67,0.21,8.76,9.94,1.04,0.96,3.57,3.66,11.25,0.11,2.18,0.32
"6050","M85663",20.22,0.2,9.19,8.35,1.11,0.99,3.66,3.64,11.28,0.1,1.71,5.12
"6051","M85669",18.47,0.18,7.26,14.75,0.94,0.91,3.44,3.34,10.92,0.11,1.94,5.53
"6052","M85670",16.17,0.16,9.27,8.38,1.09,0.96,3.7,3.67,9.74,0.08,2.08,1.51
"6053","M85671",21.63,0.22,7.78,13.45,1.04,1.02,3.92,3.82,12.84,0.17,3.25,8.64
"6054","M85676",19.28,0.19,9.69,8.08,1.18,1.04,3.82,3.79,10.66,0.12,2.76,5.1
"6055","M85677",17.39,0.17,9.4,9.25,1.09,0.97,3.79,3.76,10.12,0.09,2.22,6.08
"6056","M85679",18.03,0.18,9.7,9.15,1.12,0.99,3.93,3.87,10.22,0.09,1.93,5.44
"6057","M85680",18.19,0.18,9.06,9.85,1.05,0.93,3.69,3.64,10.66,0.06,1.32,3.97
"6058","M85684",20.88,0.21,9.89,9.47,1.14,1.01,3.97,4.03,11.67,0.1,1.18,6.32
"6059","M85686",20.92,0.21,9,9.77,1.09,0.98,3.65,3.63,11.01,0.12,2.07,4.54
"6060","M85689",25.28,0.25,7.8,14.32,1.03,1.03,3.88,3.83,13.36,0.17,3.54,4.41
"6061","M85693",21.78,0.22,8.06,13.84,1.02,1.01,4,3.97,12.31,0.14,2.57,5.96
"6062","M85694",20.67,0.21,7.58,16.29,1.01,1,3.89,3.74,11.98,0.15,2.74,6.83
"6063","M85697",20.58,0.21,9.07,10.69,1.16,1.06,3.72,3.67,11.09,0.18,2.43,10.22
"6064","M85699",19.36,0.19,9.25,10.97,1.13,1.03,3.92,3.85,10.9,0.1,2.79,3.1
"6065","M85701",17.54,0.18,9.14,8.01,1.08,0.95,3.6,3.58,9.84,0.1,1.82,3.3
"6066","M85704",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA
"6067","M85706",19.88,0.2,8.22,14.68,1.04,1,3.91,3.8,11.28,0.13,2.5,3.75
"6068","M85711",20.73,0.21,9.55,10.72,1.13,1.06,3.9,4.12,11.29,0.23,4.29,1.87
"6069","M85713",18.63,0.19,9.63,9.61,1.19,1.07,3.9,3.86,10.52,0.14,4.04,4.73
"6070","M85715",19.35,0.19,9.25,8.78,1.11,0.98,3.66,3.64,10.41,0.1,2.23,3.91
"6071","M85716",18.51,0.19,7.18,14.32,0.93,0.89,3.43,3.32,10.93,0.1,2.41,5.63
"6072","M85717",20.91,0.21,7.32,18.11,0.99,1,3.88,3.7,11.84,0.15,3.74,9.98
"6073","M85721",18.26,0.18,7.86,9.08,0.92,0.8,3.13,3.11,10.53,0.1,1.26,1.88
"6074","M85722",16.77,0.17,9.22,9.19,1.06,0.94,3.69,3.68,9.79,0.04,1.36,0.3
"6075","M85730",16.56,0.17,6.75,16.7,0.91,0.94,3.3,3.36,10.54,0.11,2.13,12.25
"6076","M85732",21.53,0.22,9.76,9.25,1.19,1.08,3.95,3.91,11.44,0.1,2.9,5.89
"6077","M85733",18.6,0.19,7.6,12.74,0.99,0.97,3.54,3.56,11.37,0.11,2.63,7.41
"6078","M85735",16.08,0.16,9.4,9.56,1.13,1,3.78,3.75,9.69,0.08,2.34,5.17
"6079","M85736",18.91,0.19,8.35,14.56,1.06,1.02,3.85,3.78,11.24,0.14,2.72,6.72
"6080","M85738",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA
"6081","M85739",16.86,0.17,9.01,8.84,1.08,0.95,3.54,3.52,10.04,0.08,2.23,0.99
"6082","M85741",20.03,0.2,7.29,16.87,0.99,1.02,3.81,3.78,11.71,0.11,3.69,9.32
"6083","M85746",18.22,0.18,7.46,16.42,0.98,0.97,3.69,3.52,10.94,0.1,2.99,9.65
"6084","M85749",18.75,0.19,9.62,9.06,1.14,1.01,3.85,3.8,10.52,0.09,3.44,1.39
"6085","M85753",19.71,0.2,7.69,15.76,1,1.01,3.7,3.73,11.41,0.13,2.75,16.85
"6086","M85756",19.79,0.2,9.83,10.29,1.14,1.02,4.11,4.11,11.1,0.12,2.32,5.25
"6087","M85757",18.66,0.19,8.47,8.7,1.02,0.9,3.34,3.33,10.19,0.09,1.26,2.87
"6088","M85759",20.2,0.2,9.69,8.71,1.2,1.08,3.84,3.8,10.98,0.11,2.82,9.72
"6089","M85766",17.68,0.18,9.23,9.56,1.09,0.97,3.84,3.78,10.29,0.08,2.25,3.72
"6090","M85770",20.82,0.21,6.99,17.49,0.93,0.95,3.69,3.6,12.01,0.12,3.47,9.32
"6091","M85774",16.82,0.17,8.01,11.48,0.98,0.91,3.32,3.34,9.89,0.08,1.41,6.63
"6092","M85776",21.8,0.22,8.3,16.39,1.09,1.08,4.2,4,12.24,0.11,2.5,1.15
"6093","M85778",5.5,0.05,6.86,5.16,0.82,0.77,2.55,2.86,6.29,0.01,0.1,3.11
"6094","M85779",20.6,0.21,7.7,17.35,1.02,1.03,4.02,3.86,11.71,0.14,3.43,7.01
"6095","M85781",18.06,0.18,9.13,9.52,1.1,0.98,3.73,3.67,10.43,0.09,1.68,3.61
"6096","M85782",7.58,0.08,7.46,8.09,0.9,0.9,3.66,3.74,7.39,0.04,0.97,4.74
"6097","M85783",15.81,0.16,8.1,10.7,1,0.91,3.46,3.41,9.76,0.09,1.85,5.37
"6098","M85784",16.71,0.17,7.65,17.9,1,1.01,3.97,3.83,10.69,0.16,4.27,4.69
"6099","M85786",23.17,NA,NA,16.17,NA,NA,NA,NA,12.61,NA,NA,NA
"6100","M85791",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA
"6101","M85792",26.18,0.26,8.32,15.32,1.06,1.08,4.17,4.23,13.56,0.21,5.98,7.46
"6102","M85794",18.1,0.18,9.63,8.88,1.15,1.01,3.76,3.73,10.18,0.11,2.43,2.9
"6103","M85797",16.52,0.17,8.52,8.32,0.99,0.89,3.41,3.49,9.95,0.07,1.1,4.72
"6104","M85801",27.57,0.28,9.95,9.06,1.15,1.03,4.08,4.1,13.07,0.16,3.55,8.22
"6105","M85803",15.21,0.15,8.32,10.01,1.01,0.9,3.38,3.36,9.5,0.05,1.55,7.06
"6106","M86001",20.77,0.21,7.55,16.69,0.98,0.99,3.93,3.82,11.72,0.16,2.85,4.58
"6107","M86002",22.92,0.23,8.27,14.75,1.04,1.02,3.95,3.99,12.24,0.18,3.73,6.17
"6108","M86003",19.26,0.19,8.21,11.19,1.01,0.99,3.79,3.85,11.14,0.12,2.25,8.93
"6109","M86004",9.71,0.1,7.47,10.55,0.91,0.92,3.86,3.91,7.31,0.08,1.05,4.61
"6110","M86005",22.53,0.23,8.39,12.23,1.04,1,3.92,3.93,12.41,0.18,3.74,6.41
"6111","M86006",19.92,0.2,7.54,13.32,0.96,0.96,4.01,3.94,12.12,0.13,2.32,5.41
"6112","M86007",25.35,0.25,8.21,11.79,1,1,4.14,4.19,13.31,0.2,3.76,4.44
"6113","M86008",21.64,0.22,7.9,16.5,1.04,1.05,3.94,3.98,12.12,0.18,3.32,6.46
"6114","M86009",9.5,0.1,7.63,11.67,0.93,0.91,3.68,3.72,7.47,0.06,1.43,6.55
"6115","M86010",20.4,0.2,7.38,13.78,0.93,0.94,3.87,3.86,12.11,0.15,3.24,6.43
"6116","M86011",22.47,0.22,8.28,15.73,1.07,1.07,4.01,4.04,12.05,0.17,3.39,6.06
"6117","M86012",20,0.2,8.58,12.25,1.06,1.02,3.95,3.95,11.44,0.13,2.96,4.4
"6118","M86013",22.25,0.22,7.98,13.94,1.02,1.02,4.09,4.06,12.77,0.15,3.04,7.18
"6119","M86014",20.72,0.21,7.54,14.56,0.99,0.98,3.92,3.83,11.91,0.15,2.7,2.24
"6120","M86015",21.04,0.21,7.56,15.84,1,1.01,3.9,3.85,11.88,0.15,3.13,10.55
"6121","M86016",21.31,0.21,9.02,11.82,1.09,1.03,4.05,4.05,11.73,0.14,2.95,2.91
"6122","M86017",20,0.2,7.98,13.41,1.04,1.04,3.82,3.91,11.74,0.14,2.58,8.68
"6123","M86018",21,0.21,7.67,14.97,0.98,1,3.9,3.95,12.07,0.15,2.62,8.6
"6124","M86019",22.76,0.23,7.83,14.72,1.02,1.03,4.3,4.16,12.95,0.19,3.99,4.17
"6125","M86020",17.98,0.18,7.42,16.39,1,0.99,3.7,3.6,10.66,0.12,1.8,15.21
"6126","M86021",21.87,0.22,7.63,15.39,0.99,1.01,3.94,3.94,12.26,0.17,2.38,3.79
"6127","M86022",18.66,0.19,8.44,11.76,1.04,1,3.93,3.98,11.38,0.15,2.33,6.25
"6128","M86023",21.44,0.21,7.49,14.2,0.97,0.96,3.76,3.75,12.17,0.15,2.31,10.08
"6129","M86026",24.15,0.24,8.68,14.74,1.12,1.12,4.4,4.34,12.75,0.21,4.24,5.01
"6130","M86027",21.9,0.22,8.08,13.39,0.99,0.99,3.88,4.09,11.79,0.15,2.72,6.58
"6131","M86028",21.13,0.21,9.29,11.68,1.14,1.06,4.1,4.1,11.74,0.17,3.1,9.59
"6132","M86029",8.94,0.09,7.62,9.67,0.92,0.92,3.8,3.87,7.12,0.07,1.27,6.11
"6133","M86030",20.05,0.2,7.39,13.09,0.95,0.96,3.8,3.86,12.08,0.16,2.84,8.55
"6134","M86032",19.24,0.19,7.86,15.24,1.02,1.01,3.89,3.9,11.31,0.13,2.41,8.19
"6135","M86033",20.2,0.2,7.09,16.85,0.96,0.97,3.68,3.58,11.43,0.13,2.48,8.03
"6136","M86034",21.9,0.22,7.43,15.97,0.96,0.99,4.19,4.08,12.34,0.15,2.88,9.22
"6137","M86035",21.53,0.22,7.79,15.71,1.04,1.03,3.89,3.84,11.87,0.15,2.66,11.95
"6138","M86037",21.18,0.21,7.82,13.84,0.97,0.98,3.8,3.96,11.83,0.15,3.17,8.89
"6139","M86038",24.96,0.25,8.51,14.73,1.09,1.09,4.41,4.32,13.3,0.19,4.08,4.77
"6140","M86039",24.16,0.24,7.41,15.16,0.96,0.99,4.3,4.12,13.16,0.16,3.92,4.36
"6141","M86040",21.81,0.22,7.93,14.66,1.01,1.01,4.08,4.07,12.27,0.15,2.59,6.21
"6142","M86041",20.94,0.21,8.02,14.2,1.05,1.03,4.05,4,12.13,0.18,3.82,13.24
"6143","M86044",18.68,0.19,7.86,11.81,0.99,0.97,3.67,3.79,11.58,0.15,2.86,8.54
"6144","M86045",21.04,0.21,8.99,11.79,1.12,1.06,3.95,3.98,11.5,0.15,2.85,5.81
"6145","M86046",21.88,0.22,8.16,14.24,1.06,1.06,4.11,4.07,12.41,0.16,3.17,5.56
"6146","M86048",16.34,0.16,7.3,16.12,0.95,0.95,3.49,3.58,10.12,0.11,1.43,9.69
"6147","M86604",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA
"6148","M86605",22.98,0.23,7.95,15.94,1.05,1.08,4.38,4.26,12.76,0.15,4.09,9.03
"6149","M86607",19.97,0.2,7.55,15.54,0.98,0.97,3.6,3.7,11.55,0.15,3.61,7.78
"6150","M86610",16.41,0.16,7.51,11.67,0.94,0.93,3.45,3.6,10.71,0.13,1.45,3.29
"6151","M86612",18.17,0.18,8.32,11.68,1.02,0.95,3.73,3.73,10.99,0.09,1.72,3.77
"6152","M86613",17.49,0.17,8.25,11.64,1.04,1,3.81,3.85,10.86,0.13,1.8,6.05
"6153","M86617",21.72,0.22,8.51,11.83,1.06,1.02,3.87,3.91,11.99,0.19,3.82,4.83
"6154","M86621",16.59,0.17,8.03,11.05,0.99,0.92,3.64,3.65,10.65,0.14,1.61,3.27
"6155","M86622",22.3,0.22,7.28,12.87,0.92,0.94,3.79,3.83,12.85,0.15,3.2,4.26
"6156","M86624",18.84,0.19,8.27,13.47,1.06,1.03,3.7,3.79,10.95,0.12,2.42,11.98
"6157","M86627",15.46,0.15,6.87,14.86,0.91,0.89,3.38,3.36,10.14,0.09,1.45,11.33
"6158","M86629",21.15,0.21,7.38,16.07,0.97,0.99,4.13,3.99,12.3,0.15,3.61,2.56
"6159","M86633",18.28,0.18,8.93,11.77,1.08,1,3.92,3.9,10.44,0.11,2.1,3.81
"6160","M86638",21.29,0.21,7.33,14.96,0.94,0.94,3.79,3.8,12.09,0.17,2.6,9.21
"6161","M87001",25.09,0.25,7.79,15.78,1.04,1.08,4.06,4.06,13.29,0.19,4.15,5.12
"6162","M87002",25.28,0.25,7.89,15.96,1.03,1.09,4.11,4.18,13.19,0.18,4.83,10.19
"6163","M87003",25.16,0.25,7.99,16.46,1.05,1.11,4.25,4.3,12.96,0.18,4.21,12.2
"6164","M87005",23.37,0.23,7.78,17.14,1.06,1.1,4.23,4.11,13.02,0.2,3.76,10.49
"6165","M87006",23.25,0.23,8.4,17.24,1.12,1.14,4.16,4.15,12.49,0.19,4.32,11.75
"6166","M87007",24.98,0.25,8.47,16.98,1.13,1.18,4.33,4.38,13.18,0.2,4.66,11.9
"6167","M87008",24.27,0.24,7.74,17.17,1.02,1.07,4.12,4.11,12.96,0.18,4.51,5.51
"6168","M87009",21.81,0.22,7.41,18.34,1,1.05,3.93,3.85,12.34,0.15,3.49,5.98
"6169","M87010",22.61,0.23,7.98,18.64,1.07,1.1,4.25,4.08,12.75,0.19,3.35,11
"6170","M87011",24.02,0.24,7.73,16.48,1.03,1.08,4.06,4.06,12.99,0.18,4.24,5.05
"6171","M87012",20.69,0.21,7.7,18.67,1.04,1.07,3.95,3.86,11.77,0.14,3.2,5.89
